 Frames  X Position (px)  Y Position (px)  Angle (deg)
 128    29.733333        39.000000        247.221422  
 129    30.000000        39.000000        252.588038  
 130    30.000000        39.000000        252.588038  
 131    29.777778        39.777778        239.759297  
 132    30.000000        40.733333        224.573683  
 133    31.422222        41.577778          6.233066  
 134    31.500000        42.354167         49.855727  
 135    33.354167        42.500000         21.117786  
 136    33.500000        41.645833          2.900415  
 137    34.000000        42.500000         17.150200  
 138    33.577778        41.577778          1.424677  
 139    34.577778        41.577778          1.048984  
 140    34.777778        41.777778          3.861827  
 141    35.000000        41.733333          3.056409  
 142    35.222222        41.777778          3.475873  
 143    35.222222        41.777778          3.475873  
 144    35.000000        42.266667         10.202685  
 145    35.000000        42.500000         13.243894  
 146    35.190476        42.000000          6.370065  
 147    34.645833        41.500000        359.875865  
 148    34.645833        41.500000        359.875865  
 149    34.354167        42.500000         15.533972  
 150    34.354167        42.500000         15.533972  
 151    33.568627        42.568627         20.862813  
 152    34.000000        43.000000         24.900740  
 153    33.900000        43.216667         28.753707  
 154    33.666667        43.000000         27.380849  
 155    32.733333        44.150000         53.612630  
 156    32.000000        43.500000         58.649268  
 157    31.500000        42.645833         57.906610  
 158    32.645833        42.500000         28.074245  
 159    33.166667        42.555556         23.749215  
 160    33.431373        42.431373         19.239035  
 161    32.500000        42.000000         16.010599  
 162    32.431373        42.431373         29.300926  
 163    32.000000        42.500000         39.258171  
 164    31.000000        42.500000         77.857850  
 165    31.000000        43.000000         81.860079  
 166    31.354167        42.500000         60.217326  
 167    31.500000        43.500000         70.293825  
 168    32.000000        43.500000         58.649268  
 169    31.500000        43.500000         70.293825  
 170    31.777778        43.222222         59.959104  
 171    32.393939        43.939394         56.529083  
 172    32.333333        43.743590         55.318373  
 173    32.606061        43.060606         40.469389  
 174    32.733333        43.000000         37.460976  
 175    32.666667        42.743590         33.306111  
 176    32.666667        42.256410         21.697336  
 177    32.733333        42.000000         14.173766  
 178    33.354167        41.500000        359.813416  
 179    33.645833        41.500000        359.832450  
 180    33.500000        41.500000        359.823444  
 181    33.354167        39.500000        321.966818  
 182    31.354167        38.500000        280.683137  
 183    31.354167        38.500000        280.683137  
 184    31.354167        38.500000        280.683137  
 185    31.354167        38.500000        280.683137  
 186    32.000000        38.733333        293.616854  
 187    31.577778        38.577778        285.107249  
 188    31.666667        39.256410        291.344595  
 189    31.666667        39.256410        291.344595  
 190    32.500000        39.354167        308.497205  
 191    33.000000        39.190476        313.678456  
 192    33.000000        39.000000        311.424850  
 193    33.000000        38.809524        309.355630  
 194    32.777778        38.777778        306.099373  
 195    32.666667        38.743590        304.215337  
 196    32.777778        39.222222        311.054480  
 197    32.577778        39.422222        310.648930  
 198    32.577778        39.422222        310.648930  
 199    32.577778        39.422222        310.648930  
 200    32.577778        39.422222        310.648930  
 201    32.777778        39.222222        311.054480  
 202    32.000000        38.500000        291.965532  
 203    32.500000        39.000000        304.335279  
 204    33.422222        39.422222        321.637291  
 205    33.422222        39.422222        321.637291  
 206    33.500000        39.354167        321.553107  
 207    33.222222        39.222222        316.812723  
 208    32.422222        39.422222        308.097150  
 209    32.422222        39.422222        308.097150  
 210    32.422222        39.422222        308.097150  
 211    32.422222        39.422222        308.097150  
 212    32.422222        39.422222        308.097150  
 213    32.166667        39.555556        305.248282  
 214    31.422222        40.422222        300.334828  
 215    30.833333        40.444444        272.512568  
 216    30.354167        40.500000        246.785741  
 217    30.500000        40.645833        251.616564  
 218    31.354167        40.500000        299.371375  
 219    31.354167        40.500000        299.371375  
 220    31.500000        40.645833        309.592389  
 221    30.577778        42.422222        102.874262  
 222    30.577778        42.422222        102.874262  
 223    30.577778        41.422222        202.411462  
 224    30.444444        41.166667        224.957360  
 225    29.577778        41.422222        184.075765  
 226    29.444444        42.166667        153.873608  
 227    29.422222        42.577778        141.911178  
 228    29.577778        41.577778        176.713529  
 229    29.577778        42.422222        142.912069  
 230    29.645833        42.500000        139.001606  
 231    30.568627        41.431373        199.449433  
 232    30.500000        41.354167        208.276830  
 233    30.500000        41.354167        208.276830  
 234    30.500000        41.354167        208.276830  
 235    30.500000        41.354167        208.276830  
 236    30.500000        41.000000        240.582799  
 237    31.266667        41.000000        313.357459  
 238    31.500000        41.354167        347.802892  
 239    31.733333        41.000000        331.764620  
 240    32.354167        40.500000        327.247435  
 241    31.422222        40.577778        304.332483  
 242    30.645833        40.500000        262.050230  
 243    30.577778        39.577778        263.825178  
 244    31.000000        39.500000        276.063899  
 245    31.000000        39.500000        276.063899  
 246    32.500000        40.645833        333.278613  
 247    32.500000        41.645833          4.587345  
 248    32.500000        41.645833          4.587345  
 249    33.431373        42.568627         21.845778  
 250    33.500000        42.000000         10.270137  
 251    33.431373        41.431373        358.332576  
 252    33.500000        41.500000        359.823444  
 253    33.431373        41.568627          1.305394  
 254    33.079365        42.444444         22.209484  
 255    33.000000        43.500000         41.981805  
 256    32.422222        43.577778         51.678733  
 257    32.754386        43.385965         43.657240  
 258    33.848485        42.500000         17.945612  
 259    33.777778        43.222222         29.811896  
 260    33.568627        43.431373         34.653721  
 261    32.166667        44.444444         64.825522  
 262    32.166667        44.444444         64.825522  
 263    31.192982        43.807018         79.975358  
 264    30.146667        44.146667        103.635035  
 265    30.266667        43.850000        102.519878  
 266    31.500000        44.000000         74.023670  
 267    32.354167        44.500000         62.346964  
 268    31.807018        45.192982         74.521174  
 269    32.000000        45.000000         70.837549  
 270    31.901961        45.039216         72.469914  
 271    30.703704        44.685185         91.495605  
 272    30.568627        44.568627         94.074999  
 273    30.666667        45.256410         91.833506  
 274    29.833333        45.444444        103.614793  
 275    30.000000        44.500000        104.732359  
 276    29.500000        44.354167        114.328716  
 277    29.577778        43.577778        120.291758  
 278    29.577778        43.422222        122.278122  
 279    29.955556        42.711111        124.644219  
 280    30.354167        41.500000        181.107562  
 281    30.500000        41.354167        208.276830  
 282    30.777778        41.222222        268.224437  
 283    31.222222        41.222222        326.698154  
 284    30.571429        42.190476        107.511405  
 285    30.571429        42.190476        107.511405  
 286    30.577778        41.422222        202.411462  
 287    31.422222        40.577778        304.332483  
 288    31.000000        41.000000        292.767115  
 289    31.222222        41.222222        326.698154  
 290    31.568627        40.431373        305.982639  
 291    31.645833        40.500000        310.433029  
 292    31.577778        41.422222        353.786062  
 293    31.500000        41.000000        324.524919  
 294    30.500000        42.000000        120.244138  
 295    30.431373        42.568627        108.525035  
 296    29.754386        42.385965        139.629628  
 297    29.500000        42.645833        138.521432  
 298    29.577778        42.577778        138.502694  
 299    30.555556        42.166667        109.343174  
 300    30.500000        41.645833        154.378300  
 301    29.927536        42.710145        125.559602  
 302    29.500000        43.000000        130.780179  
 303    29.354167        43.500000        125.725482  
 304    29.444444        42.833333        135.370154  
 305    30.577778        41.577778        161.616111  
 306    31.215686        41.372549        342.434811  
 307    30.354167        41.500000        181.107562  
 308    31.166667        41.444444        350.452578  
 309    31.333333        41.743590         23.281311  
 310    31.215686        41.627451         15.513261  
 311    31.393939        41.060606        323.598704  
 312    31.060606        41.393939        337.331586  
 313    30.743590        41.512821        174.087198  
 314    30.266667        42.000000        136.604827  
 315    30.743590        41.512821        174.087198  
 316    30.777778        41.222222        268.224437  
 317    30.500000        41.500000        181.670773  
 318    30.000000        42.000000        147.995460  
 319    30.266667        43.000000        109.218416  
 320    30.500000        42.354167        108.721788  
 321    30.500000        41.354167        208.276830  
 322    30.500000        41.645833        154.378300  
 323    30.444444        41.833333        136.479461  
 324    30.500000        42.354167        108.721788  
 325    30.500000        42.500000        106.122721  
 326    30.777778        41.777778         91.885693  
 327    30.733333        42.000000         96.189115  
 328    30.500000        42.500000        106.122721  
 329    30.166667        42.444444        123.517073  
 330    30.000000        42.500000        128.424287  
 331    33.354167        45.500000         57.249894  
 332    33.850000        45.266667         50.816915  
 333    33.577778        45.422222         54.505823  
 334    33.577778        45.422222         54.505823  
 335    33.577778        45.577778         55.554568  
 336    34.166667        45.444444         49.346442  
 337    34.166667        45.444444         49.346442  
 338    34.354167        45.500000         48.211315  
 339    34.354167        45.500000         48.211315  
 340    34.333333        45.256410         46.581190  
 341    34.333333        45.256410         46.581190  
 342    34.333333        45.256410         46.581190  
 343    34.500000        44.500000         38.856438  
 344    34.500000        44.500000         38.856438  
 345    34.500000        44.500000         38.856438  
 346    34.422222        44.577778         40.173494  
 347    34.000000        45.375000         50.271883  
 348    34.000000        45.375000         50.271883  
 349    34.000000        45.375000         50.271883  
 350    34.256410        45.333333         47.787759  
 351    34.222222        45.222222         47.229073  
 352    34.606061        44.939394         41.933804  
 353    34.733333        45.000000         41.499239  
 354    34.666667        44.743590         39.821948  
 355    34.577778        44.577778         38.994707  
 356    35.000000        44.000000         30.598684  
 357    34.577778        44.577778         38.994707  
 358    34.303030        44.696970         42.201320  
 359    34.333333        44.743590         42.370560  
 360    34.500000        44.645833         40.195016  
 361    34.645833        44.500000         37.782827  
 362    34.645833        44.500000         37.782827  
 363    34.577778        44.422222         37.545867  
 364    34.645833        44.500000         37.782827  
 365    34.645833        44.500000         37.782827  
 366    34.645833        44.500000         37.782827  
 367    34.645833        44.500000         37.782827  
 368    34.577778        44.422222         37.545867  
 369    34.577778        44.422222         37.545867  
 370    34.577778        44.422222         37.545867  
 371    34.645833        42.500000         14.410703  
 372    34.645833        42.500000         14.410703  
 373    34.577778        42.422222         13.552735  
 374    35.000000        42.000000          6.655513  
 375    35.354167        42.500000         12.249201  
 376    34.645833        41.500000        359.875865  
 377    34.354167        42.500000         15.533972  
 378    33.833333        41.555556          0.887464  
 379    34.354167        41.500000        359.865717  
 380    34.500000        41.645833          2.120181  
 381    31.703704        40.685185        318.087927  
 382    29.428571        40.190476        224.139513  
 383    28.777778        39.777778        220.743945  
 384    28.500000        40.354167        206.782540  
 385    28.428571        40.809524        196.507668  
 386    28.428571        40.809524        196.507668  
 387    28.428571        40.809524        196.507668  
 388    28.577778        40.422222        206.184129  
 389    29.222222        39.777778        227.886814  
 390    29.000000        39.809524        223.556841  
 391    29.000000        39.733333        224.813072  
 392    29.000000        39.733333        224.813072  
 393    29.000000        39.733333        224.813072  
 394    29.000000        39.733333        224.813072  
 395    29.000000        39.733333        224.813072  
 396    28.733333        40.000000        216.300936  
 397    29.000000        40.000000        220.172424  
 398    28.370370        40.074074        210.693100  
 399    28.606061        40.060606        213.581336  
 400    28.606061        39.939394        215.735616  
 401    29.354167        39.500000        234.501302  
 402    29.571429        39.190476        242.332903  
 403    29.733333        39.000000        247.221422  
 404    29.733333        39.000000        247.221422  
 405    29.000000        39.500000        228.343552  
 406    28.500000        40.500000        203.796419  
 407    28.606061        39.939394        215.735616  
 408    28.606061        39.939394        215.735616  
 409    28.500000        40.000000        213.410384  
 410    28.577778        39.577778        221.153913  
 411    28.666667        39.743590        219.775578  
 412    28.666667        39.743590        219.775578  
 413    28.666667        39.743590        219.775578  
 414    28.666667        39.743590        219.775578  
 415    28.666667        39.743590        219.775578  
 416    28.666667        39.743590        219.775578  
 417    28.571429        39.809524        217.484365  
 418    28.500000        40.000000        213.410384  
 419    28.571429        39.809524        217.484365  
 420    29.000000        39.500000        228.343552  
 421    28.577778        39.577778        221.153913  
 422    28.711111        40.044444        215.196066  
 423    28.354167        40.500000        202.515970  
 424    28.500000        39.645833        219.163616  
 425    28.555556        39.833333        216.897969  
 426    28.577778        39.577778        221.153913  
 427    28.577778        39.577778        221.153913  
 428    29.000000        39.500000        228.343552  
